sample_ML6	sample_ML7	sample_ML8	sample_ML9	sample_HFS211	sample_HFS212	sample_HFS213	sample_HFS214
DOLPP1	10.8675	13.3578	8.81395	10.8608	12.8558	12.1287	12.3237	10.1482
DONSON	17.008474	22.61814	11.884121	12.935711	15.72858	19.1338	16.87387	17.361267
DOP1A	3.742458524	7.832612224	2.910261505	4.58538174395147	2.89621035482318	4.615688082	2.2115511803753	3.44823700413049
DOP1B	1.70509000041252	3.1971996	2.473267	4.31220252615	14.099336	13.397500286935	13.68029	9.683329
DOT1L	14.36417	19.815887	10.01822394391	14.0259126916	33.29206	26.99245	32.96625	20.048204
DPAGT1	22.358	26.2688	25.9823	22.0967	11.6946	12.7378	10.5373	14.9882
DPCD	20.5549	28.2335	16.8016	18.9985	19.1702	24.5568	21.1876	22.6129
DPEP1	0.891196	17.3611	7.01928	0.981455	1.95598	1.86953	2.55583	7.51771
DPEP2NB	0.614191	0.358568	0.121063	0.497815	0	0.126006	0	0
DPF1	0.427053144841	0.414932	0.344404	0.206956191	0.6756930663452	0.505807	1.17635700083278	0.9311570739726
DPF2	47.94877	69.67892	41.11811	56.07246	56.11124	52.00971	51.64717	48.1374
DPF3	0.571333	1.1140477	0.3147955	0.536837	1.119623	1.415053	1.349911	0.7659093
DPH1	10.5754	12.9093	10.9602	12.4418	8.06634	11.4929	12.3414	12.3536
DPH2	7.26534	10.7297	6.58108	8.11831	8.69059	8.73252	6.74998	7.06504
DPH3	17.9869	18.8025	20.8594	18.0993	13.9124	17.622	10.8076	20.178
DPH5	19.09718	27.35376	13.642625	18.015116	12.83446	14.488993	8.934389	15.566847
DPH6	2.33098	3.95316	1.41496	2.952821	3.43655	3.918868	1.98093	3.457149
DPH7	56.1611	72.7617	48.0691	57.2287	56.5476	58.9298	57.9231	59.6435
DPM1	29.167295	45.00746	20.548525	36.10336	32.285703	38.094117	32.20894	49.087003
DPM2	84.2516	88.4312	83.8083	78.8476	74.3435	75.1146	68.8883	74.9203
DPM3	56.4331	97.3107	58.5442	78.4503	53.0313	42.1505	40.0903	46.5942
DPP10	0	0.0147359	0	0	0.0524282	0.55652561596	0.0735789	0.843598
DPP3	48.8142	55.910442	39.95784	50.8214	54.51854	43.935426	44.654	43.2375
DPP4	59.88400622835	49.93816	45.76026	68.68733	25.23118	42.69822	21.60152	45.735
DPP6	0.153576	0.0297908	0.0604519	0.031991	1.39903	2.078209	2.92413	1.993365
DPP7	89.006	94.8633	90.7467	88.9884	66.6694	52.2733	50.785	69.8691
DPP8	14.22782	15.89111	8.15301	16.97136	9.96277	13.28768	10.603302	14.9651104031
DPP9	23.1772	29.13935	21.18966	26.03579	22.01582	23.52751	19.07842	20.15986
DPPA2	0	0.114396	0	0	0	0	0	0
DPPA4	0	0.119332	0	0	0	0	0	0
DPPA5	0	0	0	0	0	0	0	0
DPT	0.437022	8.60684	1.61495	2.8899	0.277144	5.03608	0.323897	1.79867
DPY19L1	17.8875	27.1271	12.2229	12.9612	16.0913	24.3106	17.7397	26.9899
DPY19L2	0	0	0	0	0	0	0	0.0340137
DPY19L3	4.24299	7.28296	2.7763	5.04913	3.05559	4.575436463	1.761602	4.844804
DPY19L4	10.2249	17.76556	7.584107	11.7774000008609	7.31538	9.808113	7.104403	7.630239
DPY30	349.84196	364.49972	316.60511	296.4899	164.95	169.77128	119.02358	160.14067
DPYD	0.369004	0.107328	0.217833	0.270049	0.886775	2.08225	1.37634	1.67537
DPYS	0	0	0	0.0971026	0.355781	0.806549	1.05045	0.757072
DPYSL2	16.89096	17.08578	13.211123036	13.3127000003142	6.549121	12.9354	7.66242	12.41571
DPYSL3	10.69036	16.9629	7.168789	10.82692	11.09748	11.81441	5.48523	12.81957
DPYSL4	0	0	0	0	0.0338642	0.108052	0.155884	0.114668
DPYSL5	0.621973	1.206077	0.32365	0.873515	0.762786	0.920728	0.791043	0.934656
DQX1	6.27198	2.50309	3.24843	4.31426	2.01233	3.24227	1.77802	3.86035
DR1	16.5928	20.7636	12.4338	14.3898	16.5615	28.3453	16.0483	28.044
DRAM1	14.9356	27.7137	13.9764	31.6179	10.7304	21.9318	11.6626	16.5482
DRAM2	26.0891	29.7001	17.2463	24.0774	19.6158	32.1995	17.6135	35.8136
DRAP1	51.4605	74.9073	39.8478	63.6579	71.9751	70.4346	57.5656	61.881
DRAXIN	0	0	0	0.0658003	0.0399781	0	0.0307003	0
DRC1	0	0.037195	0	0.0398391	1.50408	2.98532	2.7608	0.65923
DRC3	0.0399909	0	0.0787198	0.0415339	0.354275	0.525877	0.739654	0.429976
DRC7	0.64888	0.83467	0.354489	0.599974	1.81295	0.852638	1.22903	0.577677
DRD1	0.184369	0.119175	0.0201558	0.0856141	0.285029	0.0412995	0.297829	0.547442
DRD2	0.0664883	0.160575	0	0.0687132	0.125336	0.370034	0.1872897726	0.215004
DRD3	0	0.0257089	0	0	0	0.0268793	0.025729	0.0283887
DRD4	0.177965	0.230357	0.0584039	0.122496	0	0.0602137	0.115993	0.256613
DRD5	0.425402	1.19633	0.289922	0.834931	0.433407	0.32103	0.157661	0.523939
DRG1	72.6161	93.8911	57.1707	61.597	82.8791	68.2879	49.3073	81.2894
DRG2	40.12299	43.68385	31.418403	36.3007	29.16555	31.29575	27.96433	28.08594
DRGX	0	0	0.122038	0	0	0	0.122653	0
DROSHA	12.650958	15.845211	8.738126353809	12.383053	19.968557	19.83271	13.606835602831	17.626309
DRP2	0.162656	0.158904	0.231136	0.0378931	0.182849	0.440248	0.288299	0.548627
DSC1	0.337407	0.0327285	0	0	0.0426934	0.102275	0.295192	0.941451
DSCAM	0	1.485104	0.6111860173554	0.591251	0.2394539	1.479621	0.342174	0.3038002
DSCAML1	0.0234748	0.0455091	0.0230939	0.0368897	0.846051	1.26401	1.07866	0.763353
DSCC1	5.38588	5.82082	2.99835	3.94267	7.63216	9.04435	5.8002	11.1868
DSE	9.138261437	14.169322	7.3829117	12.68076	8.919576	22.12338	8.433676007	17.724419
DSEL	0.450215	0.8573349336	0.41723	0.656077464	1.0574614	1.797687	1.13655388599	1.8539609
DSG1	0.72703	0.251801	0.178849	0.352084	0.788355	2.51512	0.9071	3.86431
DSG2	12.5569	7.30385	5.72978	9.70603	10.3859	17.9064	6.77209	20.3913
DSG3	0.585938	0.324716	0.109825	0.407202	0.776594	0	0.108352	0.567936
DSG4	0.0273474	0.0795646	0	0.0570256	0.0691955	0	0	0.0585851
DSN1	12.88737	31.90652	7.72442	13.39959	9.21192	9.16108	12.48007	8.58227
DSP	0.109298	0.2350677	0.1245499	0.53141	0.50957	0.556158	0.452287	0.917017
DSPP	0	0	0	0	0	0	0	0
DST	3.47633973996845	5.45272604971	2.747584614	3.968962609408	3.75415487510889	6.787273132243	3.961616	7.14384093324176
DSTN	11.5236	20.4328	10.6429	13.661	10.0846	17.3879	13.2245	21.0538
DSTYK	5.97452	10.3145	4.71829	7.77751	6.16944	7.34148	8.28748	6.28196
DTD1	31.858628	38.08291	24.277847	25.191309	13.1197	20.699469	15.1292	27.532627
DTD2	3.84607	3.42002	1.6582	2.56899	1.45475	2.63635	1.37522	2.48056
DTHD1	0	0	0	0	0	0	0	0
DTL	11.19176	12.2903	5.778603	8.82137	19.54813	14.966285	20.45131	15.306
DTNA	0.048526910984	0.152566009811	0.116128386666	0.150804074888	0.646744	1.167401	0.680815950771	1.569277
DTNB	3.1487863941	4.082284125	2.252466	8.650003	6.074451	5.707923	5.113702	5.18204
DTNBP1	38.40009	52.37568	29.49298	46.69975	75.27288	60.9849	71.28511	57.27661
DTWD1	2.57126	3.955341	2.637395	2.901283	2.886813	4.36078	2.75372	8.834037
DTWD2	2.02766	1.91721	1.46505	1.70332	1.2554	1.8442	1.66962	2.4259
DTX1	11.48898	15.46284	6.8731	17.012	8.013093	7.377096	3.788012	3.407179
DTX2	38.23938274	47.836488	30.1337007	35.35579	52.0411670040107	32.40382	58.48541	37.05635
DTX3	8.18796	12.40388	5.94138	13.148599	4.902774	8.0512	6.74786	5.109311
DTX3L	5.32527	10.3122	5.59123	8.22471	7.07075	8.7634	5.46255	9.46685
DTX4	16.2594	26.2646	12.8154	17.3536	14.767	16.1463	9.0998	16.2363
DTYMK	66.3756	44.4634	23.1096	29.674	125.659	56.5238	119.883	56.184
DUOX1	0.888634	0.647323	0.868712	1.03196	4.99691	7.58206	3.29221	1.50859
DUOXA1	0.278839	0.431788	0.328116	0.569961	0.471189	1.23391	0.549352	1.32009
DUOXA2	6.94095	14.7694	4.15396	11.5114	2.00405	2.15136	1.81544	4.12113
DUS1L	62.0819	78.4844	57.0029	61.3349	50.0172	49.2	43.562	41.9563
DUS2	21.449105	31.8309900279361	17.207268	21.724583	27.651082	32.342935	26.401263	26.756387
DUS3L	16.9289	24.3252	15.7932	17.623	28.3291	26.336	19.5259	22.6451
DUS4L	17.13	21.2783	13.5157	22.2079	7.2708	11.0314	11.3436	14.8223
DUSP1	24.8081	36.1166	17.3493	33.1615	29.1814	21.2176	34.7046	12.4221
DUSP10	2.25585	2.82227	1.56707	2.528365	1.13335	1.639598	1.54774	1.38824
DUSP11	39.58645	52.145	28.18915	32.33313	19.34271	23.15535	20.3584	30.307585
DUSP12	13.034653	21.9931	13.338081	18.94027	15.766	16.052	11.00867	12.646666
DUSP13A	0.528457	0.686716	0	0.702766	0.222263	0	0	0
DUSP13B	0	0.684463	0.198197	0.307705	0	0.205724	0	0.220302
DUSP14	24.5539	15.2164	23.3527	24.7955	6.94261	8.40895	15.3248	9.02387
DUSP15	3.200874	5.672198	2.911349	4.48356	1.50961	1.69941	1.567551	1.9015
DUSP16	4.284988	3.703493	3.05892	5.541095	3.46847	3.978048	3.8495	2.57729
DUSP18	0.818783	1.45273	0.846879	1.55178	0.616435	1.38836	0.910491	1.42166
DUSP19	1.9621159	2.54655400050775	2.3021269737	1.6068228	2.30304	2.7262328	2.1471774	4.587136
DUSP2	29.7532	93.5195	53.9949	78.2967	16.9052	18.5117	13.8917	15.2399
DUSP21	0	0	0	0	0	0	0	0
DUSP22	13.32502	27.9097	11.59946	20.56162	13.39099	15.80487	15.1209	17.19609
DUSP23	2.64902	2.4922	1.42213	2.04249	1.32068	1.33982	1.8364	0.863125
DUSP26	0.0976561	0.096667	0.192715	0.603806	0.498247	0.805904	0.0981622	0
DUSP29	0	0	0	0	0	0	0	0
DUSP3	32.4023	36.4084	28.4869	34.2538	26.3303	31.6156	24.6933	29.2835
DUSP4	1.98513	3.21419	1.58111	2.65547	3.17637	3.43351	4.05724	3.94064
DUSP5	14.1389	18.1136	10.6655	32.4132	6.41352	9.09659	12.8356	5.79676
DUSP6	18.3821	27.72	17.6575	26.0975	15.0115	20.0926	12.2603	20.7029
DUSP7	17.0372	23.9152	15.9547	23.7918	31.7187	30.9859	29.1196	30.1185
DUSP8	0.278062	0.186656	0.294638	0.446836	0.297614	0.819449	1.14046	0.686104
DUSP9	0.818532	1.07839	1.17715	1.99258	0.0756977	0.479046	0	0.193979
DUT	240.3197	188.3163	104.8023	112.4594	208.51727	114.8057	189.93473	158.05596
DVL1	17.49627	25.77821	16.479403	22.73327	21.960777	26.0252	20.55939	20.67303
DVL2	10.98018	18.89498	9.47054	11.63264	13.7679	14.64556	11.965839	13.78422
DVL3	20.041	28.6452	17.3303	21.0682	17.5111	18.3379	13.8654	15.4829
DXO	15.58292	16.96019	13.03838	16.30488	8.82923	9.95548	9.350644	9.42239
DYDC1	0	0	0	0	0	0	0	0
DYM	29.53496	32.0547	22.04063	26.98959	24.32128	22.1561921	26.3304839	29.77072
DYNAP	1.82904	6.63311	3.35868	1.53332	0	0	0	0.275334
DYNC1H1	28.0896	38.624	20.5488	35.6042	47.7276	46.7637	41.6355	38.5204
DYNC1I1	0.197334565	0.2647642192	0.1597396787	0.207564255	0.255938287	0.682384	0.606716	0.5799442
DYNC1I2	39.58728	61.72736	34.411843	42.50981215418	42.411904	56.6086706	44.03919924835	62.5189847
DYNC1LI1	39.9202	49.3869	31.1907	35.8212	35.1975	44.9379	32.0044	51.9707
DYNC1LI2	21.29091	36.059009	16.17196	23.68605	15.887587	27.634456	19.628266	26.93896
DYNC2H1	0.812188	1.24101000006041	0.519015130434	0.877294098	0.47973	0.762943	0.578479	0.788716
DYNC2I1	3.039138	5.65234400481177	2.758672	3.839251	3.881887	5.757296	3.301663	5.2544449801
DYNC2I2	7.14191	10.297	4.48326	8.94403	22.4069	14.1642	23.7908	12.1733
DYNC2LI1	2.70501	2.544614	2.73575	2.10469	2.68556	4.76105	4.789961	5.129981
DYNLL1	312.047	299.086	297.116	208.319	294.431	294.308	205.16	263.883
DYNLL2	54.3114	84.8812	39.3613	59.8737	55.7257	61.6576	49.2857	63.9824
DYNLRB1	322.855	380.031	249.894	283.071	348.234	334.506	239.452	306.851
DYNLRB2	1.32858	1.8154	1.05114	1.29772	2.28602	0.783996	0.252196	0.838126
DYNLT1	105.555	114.365	114.606	69.8707	97.149	249.791	189.222	204.183
DYNLT2	1.57844	1.39359	0.636422	1.77116	1.18141	0.948851	0.914419	0.778823
DYNLT2B	16.0949	20.1342	9.55557	11.3094	8.84678	5.84943	6.21461	12.5939
DYNLT3	20.3496	24.8073	16.5878	18.7711	11.91641	32.423	16.3897	33.7536
DYNLT4	0.568019	1.190497	0.952846	1.363907	0.864547	1.32619	0.295745	0.499136
DYNLT5	0.377706	1.28481	0	0.192927	1.19678	0	0.0930481	0.206418
DYRK1A	21.91228	31.71038	15.585570217304	22.95625	17.17575149061	18.0083789	18.92262654752	16.04074
DYRK1B	9.997948749902	14.967345	9.154228	11.2694040066444	14.773526	12.312063	10.900204	9.802106
DYRK2	5.79436	8.42632	2.861505	5.51703	3.449865	6.499574	2.645192	6.165487
DYRK3	6.1518673	7.287612	5.041881	5.9102910284318	16.54429	18.7297804	30.61206	16.41471844
DYRK4	0.04457	0.302736	0	0	0	0.0902419	0.043431	0
DYSF	1.11885598437181	0.87912159562	0.6791734297965	1.28528500074475	1.3257970938231	1.2304755872019	2.24791096921712	1.1939590759391
DYTN	0	0	0	0	0	0	0	0
DZANK1	1.2282	2.06929	0.74398	1.71835	0.479078	0.898839	0.918896	0.457703
DZIP1	1.61820813636317	2.113142	1.35345	1.850223	2.216850174718	2.3187232	1.2548495	2.510657
DZIP1L	0.460091	0.669257	0.226363	0.506626	0.4527	0.696301	0.471242	1.20402
DZIP3	2.6536659	3.5529337	1.906123	2.5838046	1.27694	3.222398	1.913537	3.33223
E2F1	24.6545	22.5115	12.6347	18.9054	28.2221	21.357	35.5811	22.016
E2F2	30.1058	21.9982	8.89378	14.0827	111.767	69.5655	153.969	48.7858
E2F3	6.20374	7.07404	4.2066	5.92938	3.06581	4.10525	3.38497	2.55386
E2F4	69.068	83.7531	52.0707	70.9731	188.995	171.223	187.044	144.631
E2F5	7.25498	23.29272	6.51837	18.04952	4.931333	6.40991	5.03367	6.66277
E2F6	13.17583	13.51452	11.48059	12.13499	15.653386	13.207615	12.815288	18.94677
E2F7	1.93222	1.27643	0.854236	1.05086	2.09026	2.91136	2.60996	2.37007
E2F8	19.1003	16.1069	6.58649	10.4209	26.0044	23.3731	33.3437	20.9926
E4F1	15.684731	21.572184	15.669407364913	18.93107	20.062338	18.383004	21.536	19.1436960044217
EAF1	17.9959	22.5389	25.0383	21.1297	79.7975	32.2457	44.5823	29.0045
EAF2	142.925	96.488	85.379	70.7456	55.4732	51.5814	45.3739	83.2426
EAPP	49.4103	54.5166	32.8063	34.5401	36.24591	29.6328	33.58364	38.70019
EARS2	8.680817	10.79272	7.25496	12.86263	8.778985	9.202717	10.44879	7.721074
EBAG9	15.77412	13.5501	10.484856	12.82356	9.60421	14.679087574	10.264636	20.883556
EBF1	6.959726	6.920426	2.66265	6.282245	4.8658	5.341754	2.36957	4.209526
EBF2	0.61537	0.502378	0.318646	0.3219	0.0204811	0.11418	0.0156809	0.10373
EBF3	0.469012	0.768124	0.323063	0.360698	0.446231	0.369341	0.546841	0.887405
EBF4	0.53026	0.215588	0.218733818404	0.15345539	0.668836	0.449005	0.185118312999	0.27244854123
EBI3	7.86119	23.2865	6.2855	14.9435	3.74694	5.15235	7.18267	4.99406
EBNA1BP2	80.0463	76.6626	49.1328	58.2222	79.0834	115.756	66.3252	114.679
EBP	80.599158	77.08368	71.24881	62.82329	35.969272	32.06025	26.187586	44.19629
EBPL	9.67101	17.2471	10.6646	11.3416	24.5339	24.0763	24.5966	17.9621
ECD	28.13662	42.95912	23.4472	25.45726	22.71531	28.79609	18.79552	28.0487
ECE1	16.22153	23.6334	11.64975	22.18789	29.4314	26.27204	22.22057	26.1573
ECE2	13.60367868086	16.0366782	18.50215949587	14.0865174608	9.4463670846	10.221463828	8.203149	10.943354
ECEL1	0	0.0569681082828	0	0	0.037157503323	0.44598677128083	0.199652582917	0.346248
ECH1	56.2815	83.0972	64.3962	70.1665	66.7508	76.0788	64.4419	80.4053
ECHDC1	14.1243	19.69349	10.028033	13.44748	8.753591	18.93594	8.79194	18.78145
ECHDC2	0	0	0	0	0.385062	0.0903724	0.0871587	0.9115503
ECHDC3	4.90941	4.93418	5.23916	4.84298	3.43951	4.08323	3.70238	4.22538
ECHS1	84.6885	90.2469	86.1509	71.5767	130.12	93.3979	81.7522	92.7109
ECI1	40.8778	49.303	35.9897	38.5723	53.1792	42.8329	41.4023	36.6285
ECI2	92.2742	119.59878	72.69616	100.7768	147.4254	134.4143	143.525	120.7289
ECM1	13.298768	22.24838	12.29043	17.16745	19.895073272	17.58677	16.05811	24.151522
ECM2	2.00485	3.48597	3.92551	2.65767	1.52789	6.01509	2.69301	6.10749
ECPAS	26.685904	26.455509	16.58385063718	18.52480124825	24.228421157915	22.622211	17.874686	21.301009
ECRG4	0	0	0	0	0	0.224496	0.648886	0.481856
ECSCR	10.11874	13.5655	11.0675	21.75538	6.95968	5.96491	4.001906	6.27132000554638
ECSIT	24.94672	29.13446	25.2092	25.15847	24.93423	24.33352	24.57933	25.822118
ECT2	13.6177	12.6406	4.51229	6.31579	15.2593	22.0197	18.1035	23.6984
ECT2L	0	0	0	0	0	0	0	0.0308486
EDA	0.057462128311	0.05578205602311	0.0561958	0	0.505907	0.639963121	0.1118068556	0.804481641
EDAR	0.66087	0.385026	0.455502	0.272373	0.669567	0.60446	0.0647087	0.143231
EDARADD	0.539805	1.44149	0.398643	1.45939	0.170916	1.02886	0.330444	0.438907
EDC3	17.5598	33.0964	15.2863	17.789	21.7962	18.3751	16.392	17.3772
EDC4	22.94045	27.23019	16.45349	23.63145	22.39323	20.38228	16.55071	18.82777
EDEM1	482.014	384.689	570.724	373.872	174.942	146.619	134.732	171.544
EDEM2	220.40388	121.01019	223.68358	158.86644	78.5302	77.712	77.689848	101.641157
EDEM3	82.58576	44.041396	65.54796	55.0118795355	35.278921	35.99090766	27.41481	41.6983700066812
EDF1	319.436	352.841	309.659	307.677	259.281	223.32	225.642	222.475
EDIL3	0.112772	0.207685	0.0343362	0.1284395	0.139222	0.471972	0.147417	0.377057
EDN1	1.04255	1.81243	1.79578	2.56888	0.824705	2.76996	0.634782	1.49612
EDN2	0	0.276678	0	0	0	1.38169	0	0
EDN3	2.48558	3.01376	1.95387	4.24645	15.6055	21.5226	14.694	8.18949
EDNRA	1.4974	2.10371	1.07901	1.89928	1.80587	5.62986	2.33723	5.18819
EDNRB	2.19155	2.0509	1.85625	3.9242	2.84427	7.48994	4.41311	8.08376
EDRF1	20.631632	27.35183	16.376677	24.09247	26.67232	20.44435	22.39281	20.87457
EEA1	2.48157	3.18774	1.39219	2.26691	1.92818	4.73289	2.32253	4.77897
EED	32.8294	38.9763	15.83866	33.20369	29.37472	35.9131	22.59131	36.13892
EEF1A1	6131.12	7519.63	4416.95	5710.84	5250.08	6464.57	3865.06	6957.76
EEF1A2	0.0475979	0	0.0937053	0.345237	13.496	16.9707	12.3922	19.7993
EEF1AKMT1	6.407327	8.047333	4.290162	6.787099	3.940412	3.296192	3.887508	3.586997
EEF1AKMT2	27.14929	23.78873	21.390161	20.07359	22.836	19.785934	22.37617	24.2126
EEF1AKMT3	22.81507	17.84983	19.93748	17.74923	9.68962	13.47617	10.7437	11.54055
EEF1B2	461.39	626.023	342.512	535.721	465.405	441.755	369.269	436.206
EEF1D	374.370343	529.031539	321.445273	449.543914	418.475472	423.270135	345.3961596	383.89489
EEF1E1	90.02827	108.85382	92.49687	71.06106	83.2851	47.2051	52.38197	40.66733
EEF1G	311.185	1376.31	778.859	405.483	1280.93	1243.67	1156.18	1184.66
EEF2	1118.44	1531.63	934.229	1245.32	1613.2	1556.98	1273.24	1555.22
EEF2K	8.214677	16.2997	5.503	12.08568	6.77645	9.48245	6.03861	6.88378
EEF2KMT	9.951852	19.46635	10.11735	10.3206	9.17065	7.83732	9.26817	10.62181
EEFSEC	8.58856	9.75411	5.34183	9.82948	12.4842	10.6106	7.77582	8.59323
EEIG1	46.9073	89.6346	38.4152	56.7336	49.5712	40.2347	30.5694	30.7966
EEIG2	2.25061	4.11351	1.503018	2.687634	0.96277600949612	3.72817	1.75738424	5.42431
EEPD1	2.518715	2.83395	1.67409	3.30589	4.72624	2.134445	4.283761	2.59615
EFCAB10	1.1067	0.361571	0.730889	0.355327	0.871007	0.689079	0.668122	0.737865
EFCAB11	1.66901	1.17144	0.274012	0.852941	0.822592	0.568102	1.37001	1.31682
EFCAB12	1.23723	1.54352	0.782865	0.595826	0.279636	0.268379	0.430538	0.332981
EFCAB14	15.949451	20.42686218222	11.8124220793704	14.093859	10.00099	15.749338	9.48206	17.1724
EFCAB2	1.316297	2.0344704	1.040614	1.653696	1.018592	0.920301	1.072555	0.659509
EFCAB3	0	0	0	0	0	0	0	0
EFCAB5	0	0	0	0.0201677	0.0244059	0	0	0
EFCAB6	0.426916	1.22511	0.336019	0.589403	0.539951	0.722533	0.463087	1.00295
EFCAB7	2.88591	3.83819	2.22199	2.515236	2.1428	2.89152	3.01952	4.13232
EFCAB8	0.247337	0.139893	0.141959	0.129206	0.130356	0.0415545	0.139846	0.0440664
EFCAB9	0	0	0	0	0	0	0	0
EFCC1	0.756334	0.73384	0.372213	1.09032	1.22313	2.25348	0.491058	0.94931
EFEMP1	3.1117613	3.220791	2.44039	1.5536	1.04598	2.60827	1.14922000110304	3.168722
EFEMP2	13.7562	26.0052	17.5715	18.3304	20.4542	28.979	19.6513	28.4708
EFHB	0	0.0718838	0.0364632	0	0	0	0	0
EFHC1	0.356955	0.384791	0.312285	0.741528	0.301161	0.200583	0.386058	0.0852788
EFHC2	1.658056	1.927428	1.54036	1.92547	1.63438652858	2.311895	1.381313	3.089914
EFHD1	0.681948	0.305486	1.39429	0.868392	2.78923	6.48807	3.32845	5.77452
EFHD2	39.3498	49.2925	26.8387	37.6285	90.9028	88.0531	72.0369	66.0798
EFL1	12.4877	15.2885	9.9992	11.3612	10.4429	12.2188	8.59272	10.9713
EFNA1	7.75359	10.6255	7.9904	8.27438	9.61999	7.90442	8.84109	7.39055
EFNA2	0.0883228	0.257105	0.304273	0.229034	0.33537	0.44704	0.258173	0.713117
EFNA3	0.396616	0.370474	0.195178	0.4389357	0.0966526	0.391468	0.780337	0.674568
EFNA4	0	0.259981	0.351378	0.364998	0.67809	0.637069	0.351104	0
EFNA5	0.159964	0.310392	0.11808	0.249203	0.253054	0.380161	0.121959	0.429976
EFNB1	6.49086	15.13836	6.55772	7.96249	6.575	9.82758	4.45906	8.6857
EFNB2	1.71436	3.53699	1.70637	1.729	6.32881	8.3584	3.92171	7.05201
EFNB3	0.903234	0.278836	0.242454	0.34101	0.727443	0.83075	1.07934	1.98706
EFR3A	22.544725	23.697372	16.373	19.131794	10.427424	25.30046	11.341	26.3115
EFR3B	1.41682	5.00871	1.58124	1.84594	4.0652	4.55363	4.39982	5.03968
EFS	0.389357	0.647322	0.54734	0.434883	1.8648	0.954409	1.16098	1.13215
EFTUD2	55.4779	80.0517	35.1056	58.1698	71.2008	75.0575	57.318	73.1745
EGF	0.477606	0.61124	0.0375929	0.259596	17.1563	22.2754	23.9716	20.2292
EGFL6	0	0.114904	0.0777111	0.123025	0.0499619	0.199652	0.0384262	0.297083
EGFL7	21.034543	30.448293	20.24591	33.919678	28.331245	28.172772	29.212864	24.63147
EGFL8	0.35188	1.053933	0.601248	0.612634	2.637522	2.68022	2.33969	2.47186
EGFLAM	0.882892	0.817491	0.832644	1.01835	0.390537	0.580565	0.421707	0.827082
EGFR	0.677468	0.590123	0.615825	0.575542	0.813271	1.84597	0.679767	2.04609
EGLN1	23.245631	21.176	19.124719	19.406605	13.0629	19.210905	12.945423	18.263
EGLN2	45.7098	60.2301	44.6604	47.316	51.8648	39.5179	37.0141	40.9334
EGLN3	18.3443	36.629	22.2868	34.0115	10.4681	10.398	8.01354	10.7013
EGR1	11.9501	21.8386	9.07183	16.6902	5.67072	5.69989	6.5453	6.73567
EGR2	13.251914	17.14817	6.75389	13.040395	6.516192	3.28558	5.14289	4.9357981
EGR3	5.856345	14.27436	3.009221	5.69075	3.82799	3.814763	5.068843	4.42371
EGR4	0.03917018	0.03600762	0	0.03824508	0	0	0.214819	0.1317156
EHBP1	3.14785	3.83408	1.66521	3.50883000240086	2.993648	5.2864217	2.6503996	5.8202206
EHBP1L1	50.796393	76.1208480018899	43.370574	64.9728218103	157.524004621	111.6262	166.93006	78.14975
EHD1	35.3476	47.332	22.8973	36.5696	72.0177	52.6849	64.6058	48.3916
EHD2	7.90647	10.71562	6.28076	9.98313	11.38578	10.59174	8.59694	9.29551
EHD3	68.0482	93.7731	43.6517	85.5562	138.399	104.834	101.269	123.073
EHD4	24.3475	24.8188	15.6963	21.9007	24.4129	22.556	15.1044	22.2529
EHF	0.304148	1.47832	0.199764	0.826825	0.128519	0.622132	0.200119	0.111047
EHHADH	4.26797	3.92345	1.74066	2.52303	3.0473	3.05203	2.34495	8.34163
EHMT1	28.72445	38.04342	20.005754	30.16127	34.205912	31.254076	28.829659	31.661212
EHMT2	23.054762	38.390867	19.085672	27.902046	35.790169	34.549289	28.669599	36.355073
EI24	23.40555	17.064033	21.85216	14.34106	14.8063	18.20699	15.486803	21.1628
EID1	25.5098	49.9285	21.9599	24.0399	21.2567	45.4472	24.2861	45.0583
EID3	0.925152	1.10929	0.535745	0.84408	0.895691	1.60053	0.903494	0.64643
EIF1	439.231	485.236	403.705	342.429	194.35	230.989	214.978	188.908
EIF1AD	36.1739	52.1164	35.6784	39.5927	41.8657	36.1914	32.5326	33.8521
EIF1AX	35.8648	27.8316	17.2571	20.1334	30.1203	31.1389	27.4253	30.7818
EIF1B	45.2768	63.876	39.779	48.8391	33.2101	39.2247	26.9523	37.597
EIF2A	78.2104	101.85546	60.91255	88.16083	85.86635	80.72621	74.22886	103.10026
EIF2AK1	32.6537	42.3006	27.3737	34.0098	110.747	69.4995	149.196	65.0652
EIF2AK2	6.84119	13.1921	8.27204	8.44774	18.7059	14.2618	6.02906	9.26011
EIF2AK3	34.66756	39.3732	24.52144	35.819	19.536	21.9415	16.14937	29.22715
EIF2AK4	4.7190300601748	7.1529432046	2.975779	5.39369	6.0856400119885	6.09223	7.4742119	6.456590576484
EIF2B1	41.9235	52.5444	38.3384	40.1307	46.8886	44.6214	41.5039	48.4179
EIF2B2	40.6601	49.0102	28.2606	33.4881	30.5758	32.4397	21.6979	27.7772
EIF2B3	14.1267	15.6482	9.59871	12.9422	11.7133	21.1283	11.5262	17.1142
EIF2B4	27.84885	33.28993	25.79419	24.50672	25.54476	22.4032	19.1924	22.75103
EIF2B5	32.7959	41.8924	29.818	37.4619	34.7952	32.6258	29.5192	30.561
EIF2D	39.3261	41.6189	26.0588	36.2572	27.7425	32.2757	28.2596	26.8262
EIF2S1	71.519	85.2704	52.4175	55.8836	55.1802	88.4981	53.8217	98.7764
