pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.658810325	0.775561522	0.038320578	-0.273747745	-0.916142027	122	"c(""CAMK2A"", ""CAMK2B"", ""GAB1"", ""YWHAH"", ""FOXO3"", ""MAPK10"", ""PIK3R1"", ""RPS6KA4"", ""BEX3"", ""IRS2"", ""SHC3"", ""CALM3"", ""MAPK9"", ""RAP1A"", ""AKT3"", ""PIK3R2"", ""NTRK1"", ""PRDM4"", ""ARHGDIA"")"
KEGG_ACUTE_MYELOID_LEUKEMIA	0.581481481	0.716261957	0.048408762	-0.306892932	-0.927322387	56	"c(""KIT"", ""PIK3R1"", ""ZBTB16"", ""RPS6KB2"", ""CCND1"", ""FLT3"", ""AKT3"", ""PIK3R2"", ""SPI1"", ""JUP"", ""PIM1"", ""EIF4EBP1"", ""TCF7L1"", ""IKBKG"", ""CEBPA"", ""STAT5B"", ""MYC"")"
KEGG_GLYCEROLIPID_METABOLISM	0.544993663	0.687061027	0.052589895	-0.323899663	-0.942408996	43	"c(""PLPP3"", ""LCLAT1"", ""MGLL"", ""LPL"", ""LIPC"", ""ALDH2"", ""DGKH"", ""GPAT4"", ""DGAT2"", ""DGKB"", ""ALDH7A1"", ""ALDH9A1"", ""PNPLA3"", ""DGKG"", ""DGAT1"")"
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.554753309	0.687894103	0.049391011	-0.303370036	-0.946697268	71	"c(""BCL2L1"", ""CTBP2"", ""E2F2"", ""PIK3R1"", ""RB1"", ""HDAC1"", ""CCND1"", ""SHC3"", ""CTBP1"", ""AKT3"", ""PIK3R2"", ""CDK6"", ""CDKN1B"", ""IKBKG"", ""MECOM"", ""STAT5B"", ""MYC"", ""BCR"", ""GAB2"", ""HDAC2"", ""E2F1"", ""TGFB2"", ""SHC4"", ""CRKL"")"
KEGG_PROSTATE_CANCER	0.50405562	0.651071842	0.052057003	-0.303030035	-0.978099895	87	"c(""EGF"", ""CCNE1"", ""CCNE2"", ""HSP90AA1"", ""E2F2"", ""PIK3R1"", ""RB1"", ""IGF1R"", ""FGFR2"", ""CCND1"", ""AKT3"", ""PIK3R2"", ""CDKN1B"", ""AR"", ""PDGFC"", ""TCF7L1"", ""IKBKG"", ""EGFR"")"
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.542518837	0.687061027	0.045315244	-0.28515062	-0.979233214	154	"c(""ADCY6"", ""CXCR2"", ""FOXO3"", ""PLCB2"", ""ARRB1"", ""GNG7"", ""PIK3R1"", ""CX3CR1"", ""GNG11"", ""PLCB1"", ""CX3CL1"", ""ADCY5"", ""PXN"", ""CCL20"", ""TIAM2"", ""BCAR1"", ""SHC3"", ""CCL16"", ""ADCY1"", ""GNG3"", ""RAP1A"", ""AKT3"", ""PIK3R2"", ""GNG13"", ""FGR"", ""ADCY7"", ""PLCB3"", ""CXCL12"", ""ROCK2"", ""GRK6"", ""IKBKG"", ""GNB3"", ""GNAI1"")"
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.500579374	0.651071842	0.052375908	-0.304626119	-0.983251628	87	"c(""DNM1"", ""MYO10"", ""PLPP3"", ""PIP5K1B"", ""FCGR3A"", ""PIK3R1"", ""AMPH"", ""WASF1"", ""RPS6KB2"", ""DNM1L"", ""ARPC5"", ""AKT3"", ""PIK3R2"", ""ASAP2"", ""PLD1"")"
KEGG_TYROSINE_METABOLISM	0.504032258	0.651071842	0.058969447	-0.358350919	-0.985943466	32	"c(""HPD"", ""HGD"", ""TAT"", ""ALDH3B1"", ""TH"")"
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.470374849	0.62942246	0.057246114	-0.319896905	-0.998489679	70	"c(""PCYT1B"", ""ACHE"", ""PHOSPHO1"", ""LPCAT3"", ""PLPP3"", ""LCLAT1"", ""LPCAT1"", ""PLA2G5"", ""PTDSS1"", ""DGKH"", ""GPAT4"", ""PCYT1A"", ""GPD2"", ""PLD1"", ""DGKB"", ""CDS1"", ""CHPT1"", ""GPD1L"", ""DGKG"", ""PLA2G2D"", ""PGS1"", ""ETNK2"")"
KEGG_BASE_EXCISION_REPAIR	0.47983871	0.633191489	0.061302608	-0.364039838	-1.001595588	32	"c(""POLD1"", ""LIG1"", ""HMGB1"", ""PCNA"", ""POLE3"", ""PARP2"", ""PARP1"", ""APEX1"", ""POLD2"", ""POLE"", ""POLE2"", ""NEIL3"", ""FEN1"")"
KEGG_ENDOMETRIAL_CANCER	0.446229913	0.610285029	0.060771945	-0.336268853	-1.01061536	52	"c(""EGF"", ""FOXO3"", ""PIK3R1"", ""APC2"", ""CTNNA2"", ""CCND1"", ""ILK"", ""AKT3"", ""PIK3R2"", ""CTNNA1"", ""TCF7L1"", ""EGFR"")"
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.462809917	0.62378728	0.073255866	-0.49498172	-1.015803203	8	"c(""DCXR"", ""DHDH"", ""UGDH"", ""CRYL1"")"
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.436893204	0.60643385	0.067362387	-0.393123339	-1.02432894	23	"c(""HS6ST1"", ""B3GAT1"", ""GLCE"", ""HS6ST2"", ""HS3ST1"", ""HS3ST3B1"")"
KEGG_REGULATION_OF_AUTOPHAGY	0.40974212	0.579782197	0.072179797	-0.414459669	-1.038640155	20	"c(""ATG4D"", ""ULK1"", ""PRKAA2"", ""BECN1"", ""PRKAA1"", ""GABARAPL1"", ""ATG4A"")"
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.44499179	0.610285029	0.074927882	-0.496207616	-1.045732641	9	"c(""AKR1D1"", ""BAAT"", ""ACOX2"", ""SCP2"")"
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.408560311	0.579782197	0.067362387	-0.365046359	-1.048391511	40	"c(""HK1"", ""HK3"", ""CHIA"", ""CMAS"")"
KEGG_ALZHEIMERS_DISEASE	0.383838384	0.56632364	0.063359701	-0.314644913	-1.053011152	122	"c(""SNCA"", ""CHP2"", ""GRIN1"", ""CDK5R1"", ""ATP2A1"", ""LRP1"", ""PLCB2"", ""BACE1"", ""MAPT"", ""PLCB1"", ""LPL"", ""CACNA1C"", ""ADAM10"", ""GRIN2B"", ""CALM3"", ""APP"", ""CAPN1"", ""IL1B"", ""NDUFV1"", ""GRIN2A"", ""PLCB3"", ""NOS1"", ""PPP3CA"")"
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.388133498	0.56632364	0.067518895	-0.352163166	-1.059383906	53	"c(""MINPP1"", ""PLCD3"", ""PIP5K1B"", ""PLCB2"", ""PLCB1"", ""PIP4K2A"", ""ISYNA1"", ""INPP4A"", ""INPP5A"", ""PLCB3"", ""INPP5J"", ""PLCE1"", ""PLCB4"")"
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.389677419	0.56632364	0.069448144	-0.372795935	-1.060650277	36	"c(""ATP1A2"", ""PIK3R1"", ""IRS2"", ""ATP1B2"", ""ATP1A3"", ""PIK3R2"", ""ATP1B1"")"
KEGG_ASTHMA	0.394779772	0.569217345	0.080858915	-0.491701823	-1.061383835	10	FCER1A
KEGG_ADHERENS_JUNCTION	0.366467066	0.554169709	0.06879431	-0.340131292	-1.063978572	72	"c(""ACTN2"", ""ACTN4"", ""ACTN1"", ""SSX2IP"", ""NECTIN1"", ""PTPRM"", ""IGF1R"", ""CTNNA2"", ""WASF1"", ""ACP1"", ""LMO7"", ""PTPRJ"", ""CTNNA1"", ""TCF7L1"", ""MAP3K7"", ""EGFR"", ""PTPRB"", ""FARP2"", ""YES1"", ""SNAI1"", ""SRC"", ""BAIAP2"", ""NECTIN3"", ""CTNNA3"", ""PARD3"", ""AFDN"", ""PTPN6"", ""SNAI2"", ""FGFR1"", ""PTPRF"", ""VCL"", ""TCF7L2"")"
KEGG_MAPK_SIGNALING_PATHWAY	0.333333333	0.521008403	0.066742613	-0.301375831	-1.064011842	243	"c(""EGF"", ""CHP2"", ""PPM1A"", ""RASGRF1"", ""FGF1"", ""CACNA1E"", ""MAP3K20"", ""ARRB1"", ""MAPK10"", ""FGF7"", ""MAPK8IP2"", ""GADD45G"", ""MAPT"", ""FGFR3"", ""GADD45A"", ""RPS6KA4"", ""CACNA2D1"", ""PLA2G5"", ""MKNK1"", ""MAP2K3"", ""CACNA1C"", ""CACNA1G"", ""MAP3K6"", ""FGFR2"", ""IL1R2"", ""CDC25B"", ""MRAS"", ""CD14"", ""DUSP7"", ""FGF12"", ""MAPK9"", ""CACNG2"", ""RAP1A"", ""AKT3"", ""FLNA"", ""IL1B"", ""DUSP4"", ""MAP3K11"", ""STMN1"", ""PPP3CA"", ""NTRK1"", ""FGF13"", ""MAP3K7"", ""IKBKG"", ""EGFR"", ""FLNC"", ""MECOM"", ""DUSP8"", ""MYC"", ""MAP4K4"", ""TNFRSF1A"", ""PDGFA"", ""RPS6KA5"", ""BDNF"", ""PTPN5"", ""MAPKAPK5"", ""CACNA1I"", ""PDGFRA"", ""PDGFRB"", ""MAP3K4"", ""CACNA1S"", ""CACNG5"", ""CACNB1"", ""CACNA1A"", ""PLA2G2D"")"
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.389728097	0.56632364	0.077476755	-0.459274644	-1.070692195	14	"c(""B4GALNT1"", ""ST3GAL5"", ""ST8SIA1"", ""ST3GAL2"", ""ST6GALNAC6"")"
KEGG_PANCREATIC_CANCER	0.351449275	0.540784323	0.071305299	-0.345951512	-1.074930758	67	"c(""EGF"", ""BCL2L1"", ""MAPK10"", ""E2F2"", ""PIK3R1"", ""RB1"", ""RAD51"", ""CCND1"", ""MAPK9"", ""AKT3"", ""RALB"", ""PIK3R2"", ""CDK6"", ""PLD1"", ""IKBKG"", ""EGFR"", ""BRCA2"")"
KEGG_HISTIDINE_METABOLISM	0.351800554	0.540784323	0.078295525	-0.412279315	-1.082182793	25	"c(""AMDHD1"", ""HAL"", ""FTCD"", ""UROC1"", ""ALDH3B1"", ""ALDH2"", ""ALDH7A1"", ""ALDH9A1"", ""AOC1"")"
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.359703337	0.54840017	0.071305299	-0.360609909	-1.083769458	52	"c(""EGF"", ""FOXO3"", ""E2F2"", ""PIK3R1"", ""RXRA"", ""RB1"", ""CCND1"", ""AKT3"", ""PIK3R2"", ""CDK6"", ""FHIT"")"
KEGG_BLADDER_CANCER	0.31387808	0.494756974	0.080858915	-0.387118162	-1.11178042	40	"c(""EGF"", ""DAPK2"", ""E2F2"", ""FGFR3"", ""RB1"", ""THBS1"", ""CCND1"", ""EGFR"", ""DAPK1"", ""DAPK3"", ""MYC"", ""RPS6KA5"")"
KEGG_TASTE_TRANSDUCTION	0.3	0.481034483	0.086286563	-0.424922205	-1.133521029	27	"c(""ADCY6"", ""PLCB2"", ""GNG3"", ""GNG13"", ""GNB3"", ""ASIC2"", ""CACNA1A"", ""PDE1A"")"
KEGG_VIRAL_MYOCARDITIS	0.267427123	0.436328464	0.088359444	-0.390620865	-1.136539058	43	"c(""MYH10"", ""MYH11"", ""MYH2"", ""SGCB"", ""CD86"", ""CCND1"", ""MYH1"", ""MYH14"", ""MYH4"", ""MYH9"")"
KEGG_PHENYLALANINE_METABOLISM	0.276119403	0.446593121	0.095920678	-0.481325916	-1.15871471	16	"c(""HPD"", ""PAH"", ""TAT"", ""ALDH3B1"")"
KEGG_WNT_SIGNALING_PATHWAY	0.17196057	0.333173604	0.105920293	-0.345248589	-1.174999476	140	"c(""CHP2"", ""CAMK2A"", ""CAMK2B"", ""BTRC"", ""WNT8B"", ""PLCB2"", ""LRP5"", ""MAPK10"", ""CTBP2"", ""APC2"", ""FRAT2"", ""FRAT1"", ""DAAM2"", ""PLCB1"", ""DAAM1"", ""CCND3"", ""PPP2R5C"", ""CCND1"", ""FZD3"", ""SFRP5"", ""MAPK9"", ""CTBP1"", ""PLCB3"", ""LRP6"", ""PPP3CA"", ""ROCK2"", ""TCF7L1"", ""MAP3K7"", ""PPP2R1B"", ""FZD5"", ""PRICKLE2"", ""FZD1"", ""PLCB4"", ""MYC"", ""RUVBL1"", ""PPARD"", ""RBX1"", ""WNT7A"")"
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.251691475	0.421753282	0.095603149	-0.434100566	-1.177888381	30	"c(""MAT1A"", ""BHMT"", ""CDO1"", ""TAT"", ""CBS"", ""DNMT1"", ""LDHA"", ""DNMT3B"", ""AMD1"", ""APIP"", ""SMS"")"
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.233418367	0.394773647	0.096562955	-0.410228801	-1.186485635	42	"c(""HMGCS2"", ""ACAA2"", ""ACADM"", ""ALDH2"", ""ABAT"", ""HADHA"", ""OXCT1"", ""AOX1"", ""ALDH7A1"", ""ALDH9A1"", ""HADHB"", ""DLD"", ""ACADSB"", ""HIBADH"", ""ACADS"")"
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.233468286	0.394773647	0.099927697	-0.43793016	-1.188019685	29	"c(""PCK1"", ""DLST"", ""PCK2"", ""DLD"", ""ACO2"", ""OGDH"", ""OGDHL"", ""PC"", ""FH"", ""IDH2"", ""IDH3A"", ""PDHB"", ""PDHA1"", ""IDH1"", ""SUCLA2"", ""SUCLG2"", ""SDHA"", ""IDH3G"")"
KEGG_MELANOMA	0.202898551	0.363030999	0.101713902	-0.384673689	-1.196210852	66	"c(""EGF"", ""FGF1"", ""E2F2"", ""FGF7"", ""PIK3R1"", ""RB1"", ""IGF1R"", ""CCND1"", ""FGF12"", ""AKT3"", ""PIK3R2"", ""CDK6"", ""PDGFC"", ""FGF13"", ""EGFR"")"
KEGG_PEROXISOME	0.180406213	0.338945006	0.108394256	-0.382503803	-1.201585777	76	"c(""FAR2"", ""SLC27A2"", ""ACSL1"", ""ACSL6"", ""PRDX5"", ""AGXT"", ""HAO1"", ""CAT"", ""SOD1"", ""BAAT"", ""ACSL3"", ""CRAT"", ""ACOX2"", ""PEX11G"", ""PHYH"", ""SCP2"", ""ABCD2"", ""ECI2"")"
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.154897494	0.309794989	0.115240003	-0.367065444	-1.207147211	101	"c(""SIGLEC1"", ""ESAM"", ""ITGA8"", ""NCAM1"", ""NRXN2"", ""NRCAM"", ""CNTNAP2"", ""SPN"", ""NECTIN1"", ""MADCAM1"", ""ITGB1"", ""PTPRM"", ""CD86"", ""NEGR1"", ""VCAM1"", ""NRXN1"", ""CLDN15"", ""SELL"", ""L1CAM"", ""CNTN2"", ""JAM3"", ""VCAN"", ""CLDN11"", ""NLGN3"", ""NEO1"", ""CADM3"", ""ITGA6"", ""NFASC"", ""PECAM1"", ""NRXN3"", ""CDH3"")"
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.230101302	0.394773647	0.105125132	-0.490385274	-1.215262477	19	"c(""PKLR"", ""SLC2A2"", ""HES1"")"
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.18877551	0.344237695	0.109684062	-0.422647013	-1.222402251	42	"c(""ADCY6"", ""RAB11B"", ""DCTN1"", ""AQP4"", ""DYNC1I1"", ""DYNC1H1"", ""NSF"", ""ARHGDIA"", ""RAB5C"", ""DYNC2LI1"", ""DCTN4"", ""CREB3L3"", ""ADCY3"", ""ADCY9"", ""DYNC1I2"")"
KEGG_TYPE_I_DIABETES_MELLITUS	0.214182344	0.379408724	0.109684062	-0.494895654	-1.226440008	19	"c(""GAD1"", ""PTPRN"", ""GAD2"", ""CD86"", ""PTPRN2"", ""IL1B"")"
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.22392638	0.392927422	0.110564716	-0.534679775	-1.233780617	13	"c(""UPB1"", ""DPYD"", ""DPYS"", ""ENPP1"")"
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.119318182	0.264204545	0.133554955	-0.377408294	-1.23986196	100	"c(""ESAM"", ""MYL2"", ""ACTN2"", ""MYL9"", ""ACTN4"", ""ACTN1"", ""PIK3R1"", ""RAPGEF4"", ""ARHGAP35"", ""ITGB1"", ""PXN"", ""CTNNA2"", ""NCF2"", ""BCAR1"", ""VCAM1"", ""EZR"", ""CLDN15"", ""RAP1A"", ""PIK3R2"", ""JAM3"", ""CXCL12"", ""CLDN11"", ""ROCK2"", ""CTNNA1"", ""GNAI1"")"
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.202985075	0.363030999	0.115240003	-0.515560003	-1.241127766	16	"c(""HAO1"", ""AFMID"", ""MTHFD1"", ""MTHFD1L"", ""MTHFD2"", ""ACO2"", ""GRHPR"", ""HYI"", ""HAO2"")"
KEGG_MELANOGENESIS	0.126291619	0.273142338	0.130105631	-0.383176445	-1.245424085	91	"c(""CAMK2A"", ""CAMK2B"", ""ADCY6"", ""KIT"", ""WNT8B"", ""PLCB2"", ""PLCB1"", ""ADCY5"", ""KITLG"", ""GNAO1"", ""CALM3"", ""FZD3"", ""EDNRB"", ""ADCY1"", ""ADCY7"", ""PLCB3"", ""TCF7L1"", ""FZD5"", ""GNAI1"", ""FZD1"", ""PLCB4"")"
KEGG_GLIOMA	0.144981413	0.296335635	0.125639921	-0.408722373	-1.248834092	60	"c(""EGF"", ""CAMK2A"", ""CAMK2B"", ""E2F2"", ""PIK3R1"", ""RB1"", ""IGF1R"", ""CCND1"", ""SHC3"", ""CALM3"", ""AKT3"", ""PIK3R2"", ""CDK6"")"
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.158709677	0.314042553	0.12210792	-0.438833895	-1.253566905	37	"c(""SNAP25"", ""STX3"", ""STX1B"", ""STX6"", ""STX11"")"
KEGG_PATHWAYS_IN_CANCER	0.043877551	0.121809321	0.216542837	-0.350145208	-1.255410685	308	"c(""ITGA2B"", ""EGF"", ""KIT"", ""CCNE1"", ""WNT8B"", ""CCNE2"", ""FGF1"", ""LAMC1"", ""BCL2L1"", ""NCOA4"", ""LAMA3"", ""BMP2"", ""DAPK2"", ""MAPK10"", ""CSF1R"", ""HSP90AA1"", ""CSF3R"", ""CTBP2"", ""E2F2"", ""FGF7"", ""PIK3R1"", ""APC2"", ""FGFR3"", ""ZBTB16"", ""SLC2A1"", ""RXRA"", ""RB1"", ""ELOC"", ""ARNT2"", ""ITGB1"", ""EPAS1"", ""IGF1R"", ""CTNNA2"", ""KITLG"", ""FGFR2"", ""PPARG"", ""TPR"", ""HDAC1"", ""LAMB2"", ""RAD51"", ""CCND1"", ""FLT3"", ""FGF12"", ""FZD3"", ""MAPK9"", ""CTBP1"", ""ITGA3"", ""AKT3"", ""PTCH1"", ""LAMB1"", ""PTCH2"", ""RALB"", ""PIK3R2"", ""CDK6"", ""CDKN1B"", ""AR"", ""SPI1"", ""JUP"", ""PLD1"", ""NTRK1"", ""CTNNA1"", ""FGF13"", ""TCF7L1"", ""IKBKG"", ""EGFR"", ""DAPK1"", ""LAMA5"", ""FZD5"", ""DAPK3"", ""CEBPA"", ""BRCA2"", ""MECOM"", ""FZD1"", ""ITGA6"", ""STAT5B"", ""MYC"", ""COL4A1"", ""PDGFA"", ""ITGA2"", ""PTK2"", ""BMP4"", ""PPARD"", ""RBX1"", ""CSF2RA"", ""WNT7A"", ""PDGFRA"", ""GSTP1"", ""PDGFRB"", ""CDK2"", ""BCR"")"
KEGG_ARACHIDONIC_ACID_METABOLISM	0.164438503	0.321953279	0.12210792	-0.4533406	-1.256151595	33	"c(""PTGS1"", ""PTGDS"", ""TBXAS1"", ""PLA2G5"", ""GPX3"", ""GPX1"", ""GGT5"", ""LTA4H"", ""PLA2G2D"", ""PTGS2"", ""EPHX2"", ""HPGDS"", ""PTGES2"", ""PLA2G4A"", ""PLA2G4E"")"
KEGG_OLFACTORY_TRANSDUCTION	0.175900277	0.337293315	0.119887845	-0.497079047	-1.286484851	22	"c(""CAMK2A"", ""CAMK2B"", ""PRKG1"", ""CALM3"", ""GNAL"", ""CALM2"", ""PDE1C"", ""ADCY3"")"
KEGG_SMALL_CELL_LUNG_CANCER	0.091764706	0.216053611	0.157402899	-0.408031652	-1.29648542	80	"c(""ITGA2B"", ""CCNE1"", ""CCNE2"", ""LAMC1"", ""BCL2L1"", ""LAMA3"", ""E2F2"", ""PIK3R1"", ""RXRA"", ""RB1"", ""ITGB1"", ""LAMB2"", ""CCND1"", ""ITGA3"", ""AKT3"", ""LAMB1"", ""PIK3R2"", ""CDK6"", ""CDKN1B"", ""FHIT"", ""IKBKG"", ""LAMA5"", ""ITGA6"", ""MYC"", ""COL4A1"", ""ITGA2"", ""PTK2"")"
KEGG_GLUTATHIONE_METABOLISM	0.140645161	0.291764706	0.130777138	-0.452250055	-1.29712199	38	"c(""ANPEP"", ""GCLC"", ""GCLM"", ""RRM2"", ""RRM1"", ""GSR"", ""GPX3"", ""PGD"", ""G6PD"", ""GPX1"")"
KEGG_TRYPTOPHAN_METABOLISM	0.124671916	0.272811487	0.14122512	-0.463942011	-1.306697959	35	"c(""TDO2"", ""CAT"", ""ACMSD"", ""ALDH2"", ""AFMID"", ""AADAT"", ""HADHA"", ""KYNU"", ""AOX1"", ""ALDH7A1"", ""ALDH9A1"", ""AOC1"", ""OGDH"", ""GCDH"", ""OGDHL"", ""IDO2"", ""HAAO"", ""KMO"")"
KEGG_LONG_TERM_DEPRESSION	0.096415328	0.219720659	0.157402899	-0.428892774	-1.313337767	61	"c(""GNAZ"", ""GRIA2"", ""PLCB2"", ""GRM5"", ""PLCB1"", ""PLA2G5"", ""GRIA3"", ""IGF1R"", ""PRKG1"", ""GNAO1"", ""CRHR1"", ""GRIA1"", ""GRM1"", ""PLCB3"", ""NOS1"", ""PPP2R1B"", ""GNAI1"", ""PLCB4"", ""GRID2"", ""GUCY1A1"", ""GUCY1A2"", ""CACNA1A"", ""PLA2G2D"", ""GUCY1B1"")"
KEGG_GNRH_SIGNALING_PATHWAY	0.076566125	0.187385517	0.172324345	-0.412512254	-1.326934043	85	"c(""CAMK2A"", ""CAMK2B"", ""ADCY6"", ""PLCB2"", ""MAPK10"", ""PLCB1"", ""PLA2G5"", ""MAP2K3"", ""CACNA1C"", ""ADCY5"", ""CALM3"", ""ADCY1"", ""MAPK9"", ""ADCY7"", ""PLCB3"", ""PLD1"", ""EGFR"", ""PLCB4"", ""CALM2"", ""SRC"", ""MAP3K4"", ""CACNA1S"", ""HBEGF"", ""PLA2G2D"", ""MAPK11"", ""MAP2K7"", ""ADCY3"", ""PLA2G4A"", ""PLA2G4E"", ""ADCY9"")"
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.148450245	0.300127669	0.144630528	-0.616108274	-1.329926659	10	"c(""CDO1"", ""GAD1"", ""GAD2"", ""BAAT"")"
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.139693356	0.291764706	0.153158809	-0.684478121	-1.340012019	7	"c(""ALDH2"", ""ALDH7A1"", ""ALDH9A1"", ""UGDH"")"
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.045882353	0.12550173	0.227987203	-0.431085785	-1.371804331	81	"c(""ADCY6"", ""PDE3A"", ""MAPK10"", ""CCNA2"", ""HSP90AA1"", ""CCNB1"", ""PIK3R1"", ""CCNB2"", ""BUB1"", ""ADCY5"", ""IGF1R"", ""FZR1"", ""CDC25B"", ""ADCY1"", ""MAPK9"", ""AKT3"", ""PLK1"", ""PIK3R2"", ""CDK1"", ""ADCY7"", ""ANAPC13"", ""GNAI1"", ""ANAPC5"", ""ANAPC4"", ""CDC25A"", ""CDK2"", ""MAPK11"", ""PKMYT1"", ""ADCY3"", ""ADCY9"", ""ANAPC2"", ""HSP90AB1"", ""CPEB1"", ""PIK3CA"", ""PGR"", ""PIK3CB"", ""GNAI3"")"
KEGG_ENDOCYTOSIS	0.011526625	0.043754126	0.380730401	-0.398960581	-1.382928192	168	"c(""EGF"", ""TFRC"", ""DNM1"", ""DNAJC6"", ""EPN2"", ""CXCR2"", ""KIT"", ""PSD2"", ""PIP5K1B"", ""ARRB1"", ""CSF1R"", ""ARAP3"", ""ERBB3"", ""CLTB"", ""RAB11B"", ""IQSEC3"", ""FGFR3"", ""RAB11FIP5"", ""SH3GL3"", ""AP2M1"", ""IGF1R"", ""SH3GL2"", ""FGFR2"", ""CHMP4B"", ""KDR"", ""EHD3"", ""MVB12B"", ""DNM1L"", ""IQSEC1"", ""EHD1"", ""AP2A1"", ""ARFGAP2"", ""ARAP1"", ""ASAP2"", ""PLD1"", ""ERBB4"", ""NTRK1"", ""GRK6"", ""EGFR"", ""ACAP3"", ""NEDD4"", ""RAB31"", ""RAB5C"", ""ITCH"", ""PSD"", ""CHMP5"", ""CHMP6"", ""PDGFRA"", ""ADRB3"", ""SRC"", ""RAB11FIP4"", ""CHMP1B"", ""VPS37D"", ""EEA1"", ""NEDD4L"", ""EPN3"", ""VPS4A"", ""HSPA8"", ""AP2A2"", ""PARD3"", ""LDLRAP1"")"
KEGG_ERBB_SIGNALING_PATHWAY	0.043325527	0.121809321	0.234392647	-0.432956687	-1.383712616	83	"c(""EGF"", ""CAMK2A"", ""CAMK2B"", ""GAB1"", ""MAPK10"", ""ERBB3"", ""PIK3R1"", ""RPS6KB2"", ""SHC3"", ""PAK4"", ""MAPK9"", ""AKT3"", ""PAK5"", ""PIK3R2"", ""CDKN1B"", ""EIF4EBP1"", ""ERBB4"", ""EGFR"", ""NCK2"", ""BTC"", ""STAT5B"", ""MYC"", ""PTK2"", ""ABL2"", ""PAK6"", ""NRG1"", ""PAK3"", ""SRC"", ""HBEGF"")"
KEGG_HOMOLOGOUS_RECOMBINATION	0.082872928	0.198393776	0.181383128	-0.526512371	-1.390413497	26	"c(""POLD1"", ""RAD51"", ""RPA1"", ""RPA2"", ""RAD54L"", ""BLM"", ""BRCA2"", ""POLD2"", ""XRCC2"", ""SSBP1"", ""EME1"")"
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.060493827	0.154134957	0.202071709	-0.466084361	-1.392161584	49	"c(""TUBB1"", ""TUBA4A"", ""TUBB4B"", ""TUBB3"", ""ITGB1"", ""CTTN"", ""TUBB2A"", ""TUBA1C"", ""CD14"", ""EZR"", ""ARPC5"", ""ROCK2"", ""NCK2"", ""TUBB4A"")"
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.029545455	0.096411483	0.28201335	-0.425686502	-1.398465561	100	"c(""ADCY6"", ""AVPR1A"", ""MYH11"", ""MYL9"", ""PLCB2"", ""NPR2"", ""AGTR1"", ""PLCB1"", ""PLA2G5"", ""NPR1"", ""ACTA2"", ""CACNA1C"", ""ADCY5"", ""PRKG1"", ""CALM3"", ""PTGIR"", ""MYLK"", ""ADCY1"", ""ACTG2"", ""EDNRA"", ""KCNMB1"", ""PPP1R14A"", ""ADCY7"", ""PLCB3"", ""CALD1"", ""ROCK2"", ""MYLK3"", ""IRAG1"", ""PLCB4"", ""CALM2"", ""PPP1CC"", ""GUCY1A1"", ""GUCY1A2"", ""CACNA1S"", ""ADRA1B"", ""PLA2G2D"", ""GUCY1B1"", ""KCNMA1"", ""ADCY3"", ""RAMP3"", ""PLA2G4A"", ""PLA2G4E"", ""ADCY9"")"
KEGG_PRION_DISEASES	0.069518717	0.174736234	0.195789002	-0.50532549	-1.400195396	33	"c(""C5"", ""PRNP"", ""LAMC1"", ""NCAM1"", ""C9"", ""C8A"", ""SOD1"", ""C8B"", ""C6"")"
